Value,Designator,Footprint,LCSC Part Number
10uF,"C1,C2 ",C0805,C15850
100nF,C5 ,C0603,C14663
1uF,"C3,C4,C6,C7",C0603,C15849
GREEN,D1 ,LED_0603,C72043
RED,D2 ,LED_0603,C2286
B5819W,"D3,D4 ",SOD-123,C8598
nSMD200,F1,F1206,C70085
TP4056,IC1 ,SOP-8_3.9x4.9x1.27P,C16581
SI2301CDS-T1-GE3,Q1 ,SOT-23-3,C10487
2.2K,R1 ,R0402,C25879
1K,"R2,R3 ",R0402,C11702
100K,R4 ,R0402,C25741
330,R5 ,R0402,C25104
2.7kOhm,R6 ,R0603,C13167
AP2112K-3.3,U1 ,SOT-25-5,C51118
AP9101CK6,U2 ,SOT-23-6L,C151339
FS8205,U3 ,SOT-23-6L,C32254
